SMILES,res,interactive Donar electrons count,interactive Acceptore electrons count,negative ionizable electrones count,positive_ionizable electrons counts,H_zeff,B_zeff,C_zeff,N_zeff,O_zeff,Cl_zeff,Br_zeff,I_zeff,F_zeff,Na_zeff,Mn_zeff,S_zeff,P_zeff,Ca_zeff,K_zeff,Fe_zeff,Co_zeff,Cu_zeff,Ni_zeff,Au_zeff,Pt_zeff,Si_zeff,T(S_e-)_p,T(P_e-)_p,T(D_e-)_p,T(F_e-)_p,T(Mo_e-)_p,T(Mo_Val_e-)_p,mol(R)_p,mol(orb_exponent),mol_ms(R)_p,mol(susceptibility)_p,T_polari(α)_p,T_hard(η)_p,SphereEnergy
Cc1ccc(C)c(c1)N(=O)=O,1,9,15,37,30,9.18,0.0,6.272,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,27,0,0,71,39,4.1117,66.2462,0.8044000000000001,-10.2294,4.1117,66.2462,0.009900734290826153
O=N(=O)c1ccc(C=C(C#N)C#N)o1,1,13,28,46,18,3.06,0.0,12.544,11.502,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,37,0,0,93,47,8.0367,114.8276,1.5380000000000003,-19.1064,8.0367,114.8276,0.0026408026947281906
Oc1ccc(Nc2ccc(cc2N(=O)=O)N(=O)=O)cc1,1,19,25,47,18,9.18,0.0,0.0,11.502,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,53,0,0,133,67,4.4229,117.037,1.0042,-14.3106,4.4229,117.037,0.03699892597054342
CCC(=N(=O)O)C(C)O,0,17,25,33,20,11.22,0.0,15.68,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,25,0,0,61,29,8.2943,114.82570000000001,1.5641999999999998,-19.2531,8.2943,114.82570000000001,0.04556895380973514
O=N(=O)c1ccc2ccc3ccc(cc3c2c1)N(=O)=O,1,9,15,37,18,8.16,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,50,0,0,130,70,3.2506,88.3296,0.7432000000000001,-10.6536,3.2506,88.3296,0.011723025466504408
O=N(=O)c1ccc2ccc3c(c4ccccc4c4ccc1c2c34)N(=O)=O,1,9,15,37,18,10.2,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,62,0,0,166,94,3.2506,88.3296,0.7432000000000001,-10.6536,3.2506,88.3296,0.012655430510036498
Clc1ccc(cc1N(=O)=O)N(=O)=O,1,12,16,37,18,3.06,0.0,3.136,7.668,17.812,6.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,45,0,0,99,39,4.4938,99.37030000000001,0.9596000000000001,-13.1049,4.4938,99.37030000000001,0.00291528040618295
Cc1ncc(n1CCO)N(=O)=O,1,16,25,47,30,9.18,0.0,9.408000000000001,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,33,0,0,81,39,5.807900000000002,92.74430000000001,1.1314,-14.3505,5.807900000000002,92.74430000000001,0.033555771516802065
Oc1ccccc1N(=O)=O,0,16,25,47,18,5.1,0.0,0.0,3.834,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,27,0,0,67,33,2.0783,59.6222,0.4822000000000001,-6.996600000000001,2.0783,59.6222,0.026297383463761117
O=n1cccc2ccccc12,0,8,15,23,8,7.140000000000001,0.0,0.0,0.0,4.453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,25,0,0,69,41,0.453,15.4574,0.1106,-1.6698,0.453,15.4574,0.02046753471231567
O=N(=O)c1ccccc1,0,9,15,37,18,5.1,0.0,0.0,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,23,0,0,59,31,1.6253000000000002,44.1648,0.37160000000000004,-5.3268,1.6253000000000002,44.1648,0.009899957914467848
OC(C(COC(=O)CCC(=O)O)N=C(O)C(Cl)Cl)c1ccc(cc1)N(=O)=O,0,21,50,55,30,16.32,0.0,34.496,7.668,35.624,12.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,90,0,0,202,84,18.7378,271.60689999999994,3.5659999999999994,-44.297100000000015,18.7378,271.60689999999994,0.07676586453737139
O=N(=O)c1cnc2c(c1)nc1ccccn21,1,9,15,37,18,6.12,0.0,0.0,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,40,0,0,104,56,1.6253000000000002,44.1648,0.37160000000000004,-5.3268,1.6253000000000002,44.1648,0.009998123394108016
Fc1ccc(NC(=O)c2csc(c2)N(=O)=O)cc1,1,16,34,47,18,7.140000000000001,0.0,3.136,7.668,13.359000000000002,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,55,0,0,129,59,4.3442,101.5763,0.9337000000000001,-12.874600000000001,4.3442,101.5763,0.015197525648950634
Cc1c(C)c(c(c(c1C)N(=O)=O)C(C)(C)C)N(=O)=O,0,9,15,37,30,18.36,0.0,21.952,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,48,0,0,124,66,11.953,165.61450000000002,2.257999999999999,-27.8127,11.953,165.61450000000002,0.009625373289127924
CC(CON(=O)=O)(CON(=O)=O)CON(=O)=O,0,8,24,46,40,9.18,0.0,15.68,11.502,40.077000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,55,0,0,123,47,12.450899999999999,234.07010000000002,2.5285999999999995,-33.2463,12.450899999999999,234.07010000000002,0.009253747804526218
O=N(=O)OC1COC2C(COC12)ON(=O)=O,0,8,24,46,40,8.16,0.0,18.816000000000003,7.668,35.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,50,0,0,114,46,12.521799999999999,216.4034,2.483999999999999,-32.0406,12.521799999999999,216.4034,0.014193920721859599
FC(F)(F)c1ccc(Cl)c(c1)N(=O)=O,0,15,16,37,30,3.06,0.0,6.272,3.834,8.906,6.116,0.0,0.0,15.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,51,0,0,109,39,5.0219000000000005,119.2364,1.0585,-14.5479,5.0219000000000005,119.2364,0.002423054227801048
CNN(=O)=O,0,11,15,37,30,4.08,0.0,3.136,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,16,0,0,36,14,3.5877999999999997,68.4555,0.7384000000000001,-9.7653,3.5877999999999997,68.4555,0.028780735396589784
CCN(CCON(=O)=O)N(=O)=O,1,8,24,46,40,9.18,0.0,12.544,11.502,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,37,0,0,85,35,9.3957,161.19980000000004,1.8698000000000004,-24.115799999999997,9.3957,161.19980000000004,0.013187951357245046
Nc1nc(nc2n(cnc12)-c1ccc(cc1)N(=O)=O)-c1ccc(cc1)N(=O)=O,1,13,15,37,18,11.22,0.0,0.0,11.502,17.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,71,0,0,183,97,3.9699,101.5796,0.8936000000000001,-12.6408,3.9699,101.5796,0.027248092507505893
Nc1cc(cc(c1O)S(=O)(=O)O)N(=O)=O,0,23,54,52,34,6.12,0.0,0.0,7.668,26.718000000000004,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,52,0,0,114,48,7.158900000000001,127.47370000000001,1.2299000000000002,-22.0137,7.158900000000001,127.47370000000001,0.055808405852648575
Cc1c(O)cc(cc1N(=O)=O)N(=O)=O,0,16,25,47,30,6.12,0.0,3.136,7.668,22.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,40,0,0,96,44,4.9468000000000005,114.82770000000002,1.0702,-14.774700000000001,4.9468000000000005,114.82770000000002,0.017536862478164186
OCCN=C1N=C(Nc2ccccc12)c1ccc(s1)N(=O)=O,1,18,30,52,30,12.24,0.0,6.272,7.668,13.359000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,62,0,0,152,76,9.209,143.535,1.7990000000000002,-22.763399999999997,9.209,143.535,0.03613822387929186
O=N(=O)c1ccc(cc1)S(=O)(=O)Nc2ccccn2,0,15,32,42,34,9.18,0.0,0.0,7.668,17.812,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,57,0,0,135,67,6.2529,96.5589,1.0087000000000002,-18.674100000000003,6.2529,96.5589,0.02282010395848172
CSC(C)(C)C=NOC(=NC)O,0,14,33,33,12,14.280000000000001,0.0,21.952,7.668,8.906,0.0,0.0,0.0,0.0,0.0,0.0,5.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,38,0,0,88,40,14.049299999999999,142.929,2.3023,-32.4936,14.049299999999999,142.929,0.04073055504600894
CC(=O)NC1=CC(=CC=C1)O,1,17,38,30,12,9.18,0.0,6.272,3.834,8.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,27,0,0,71,39,11.5709,132.4904,2.1028,-24.937199999999997,11.5709,132.4904,0.0506928380416804
